TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
6/8/2024,26.2,33.8,29.2,69,0,2.5,5,360,1,C
7/8/2024,25,33.2,28.9,72,0,7,7,330,1,C
8/8/2024,27,33.6,29.4,68,0,7,3,110,1,C
9/8/2024,27,35.2,29.7,70,0,2.5,3,360,1,C
10/8/2024,25,33.8,29.5,72,0,7,3,20,1,C
11/8/2024,26.6,31.8,29.1,71,0,7.2,8,340,2,C
12/8/2024,26.6,33,29,62,0,5.4,5,320,1,C
13-08-2024,24.8,34.8,29,61,0,5.3,3,130,1,C
14-08-2024,25,34.4,29.3,68,0,7.3,2,110,1,E
15-08-2024,26.2,33.4,29.2,69,0,7.3,6,320,1,C
16-08-2024,27,33.4,29,69,0,6.5,4,290,1,C
17-08-2024,27,33.2,29.4,69,0,4.5,5,320,1,C
18-08-2024,25,33.6,29,72,0,4,4,330,1,C
19-08-2024,26.6,32.6,29.1,73,0,7.2,4,320,1,C
20-08-2024,26.4,33.4,28.8,76,0,7.5,6,320,1,C
21-08-2024,26.8,33.6,29.1,74,0,6,5,330,1,C
22-08-2024,25,33.4,29.1,73,0,6.8,4,310,1,C
23-08-2024,26.6,32,28.8,76,0,6,4,280,1,C
24-08-2024,26.4,32.6,28.5,73,0,6,5,360,1,C
25-08-2024,26.6,33.6,28.7,68,0,7,7,350,1,C
26-08-2024,26,32.8,29.4,70,0,7,6,320,2,C
27-08-2024,26.6,33.4,29.1,71,0,7.4,6,340,1,C
28-08-2024,26.8,33.4,28.7,64,0,7.5,7,330,2,C
29-08-2024,27,33.6,30.4,65,0,7,5,320,1,C
30-08-2024,25,33.2,28.8,67,0,4.2,6,330,1,C
31-08-2024,26.4,33.4,28.6,70,0,3.5,6,320,1,C
1/9/2024,26.6,33.4,29,71,0,8,4,330,1,C
2/9/2024,27,33.6,30,74,0,7,3,300,0,C
3/9/2024,26,33,29.3,72,0,6.9,5,330,2,C
4/9/2024,27.2,34.6,30.1,64,0,6.2,3,50,1,C
5/9/2024,27.6,33.4,30.1,66,0,7,4,300,1,C
